نام کالا,دسته,نرخ فروش,نرخ خرید
آب مرکبات گیری نانیوا مدل NJ22,آبمیوه‌گیری,29000000,
آبمیوه گیری 4 کاره دونالکس مدل 105,آبمیوه‌گیری,110000000,90410000
آبمیوه گیری تک کاره بزرگ 8230,آبمیوه‌گیری,120000000,94730000
آبمیوه گیری سونیا 700,آبمیوه‌گیری,80000000,
شیکر جویس 500 میل,آبمیوه‌گیری,23000000,
عصاره گیر مباشی مشکی,آبمیوه‌گیری,134000000,110000000
اتو AEG مدل 1730,اتو,30000000,
اتو بخارگر فیلیپس 8041,اتو,130000000,105000000
اتو فیلیپس 5040,اتو,113000000,90000000
اتو فیلیپس 7012,اتو,68000000,63000000
اتوبخارگر دونالکس 820,اتو,64000000,40740000
SS اجاق گاز تاکنو گاز تک فر L PLATINUM,اجاق گاز و فر و هود,650000000,268788000
اجاق طرح فر تاکنو گلد استیل 2072SS,اجاق گاز و فر و هود,200000000,142713600
اجاق گاز درسا 5 شعله استیل مدل آنیل,اجاق گاز و فر و هود,157000000,
اجاق گاز درسا رایا استیل 2200-05,اجاق گاز و فر و هود,135000000,
اجاق گاز مبله تاکنو 6915WW,اجاق گاز و فر و هود,415000000,
تاکنو فر توکار برقی شیشه 215 -O,اجاق گاز و فر و هود,330000000,297223520
توکار اجاق گاز اسنوا 1SS-164102 استیل 4شعله,اجاق گاز و فر و هود,174000000,145000000
ریل تلسکوپی O-108 فر تو کار تاکنو گلد برقی شیشه خور مشکی با,اجاق گاز و فر و هود,250000000,
فر تاکنو گلد برق 125 مشکی,اجاق گاز و فر و هود,250000000,211843200
هود درسا ثمر 90 مشکی,اجاق گاز و فر و هود,75000000,
هود درسا نرگس عرض 60مشکی,اجاق گاز و فر و هود,56000000,
هود درسا نرگس عرض 90 مشکی,اجاق گاز و فر و هود,83000000,83000000
پالتینیوم پالس L-SS فن کانوکشن تاکنو اجاق گاز 5 شعله تک فر تمام استیل,اجاق گاز و فر و هود,430000000,381788000
اسپیکر دو تکه 2*15 مکسیدر 324,اسپیکر و صوتی,330000000,
اسپیکر دو تکه 3*10 مکسیدر DJ323,اسپیکر و صوتی,330000000,
اسپیکر سونیا 7040,اسپیکر و صوتی,275000000,
اسپیکر سونیا 7070,اسپیکر و صوتی,275000000,
اسپیکر سونیا 7090,اسپیکر و صوتی,275000000,
آبسردکن ایستکول مدل 409,بخاری و آبگرمکن,115000000,115000000
آبگرمکن دیواری بوتان 3115,بخاری و آبگرمکن,110000000,92000000
آبگرمکن دیواری بوتان 4118,بخاری و آبگرمکن,118000000,99500000
بخاری آذر طالیی 12 هزار سینا استاتیک,بخاری و آبگرمکن,64000000,55969100
ترازو تفال,ترازو و متفرقه کوچک,27000000,20000000
میز LCD مدل 5740,ترازو و متفرقه کوچک,90000000,
55SQ788N ال ای دی 55 اینچ جی پالس -GTV,تلویزیون و LED,770000000,666450000
65SQ778N ال ای دی 65 اینچ جی پالس -GTV,تلویزیون و LED,1190000000,
ال ای دی 43 اینچ هیمالیا HI-43bJ755,تلویزیون و LED,165000000,
ال ای دی 50 اینچ جی پالس 50SU788NP,تلویزیون و LED,590000000,530000000
ال ای دی ال جی 55UA85006,تلویزیون و LED,1070000000,970000000
ال ای دی سونی 55 مدل S30,تلویزیون و LED,800000000,630000000
ال ای دی سونی 65 اینچ مدل S30,تلویزیون و LED,1430000000,1330000000
ال ای دی سونیا -6590 43 اسمارت,تلویزیون و LED,235000000,182912400
ال ای دی سونیا 43DH6510 اسمارت,تلویزیون و LED,215000000,226596000
ال ای دی سونیا 4K-50-7600,تلویزیون و LED,272000000,
ال ای دی سونیا 50DU8610,تلویزیون و LED,340000000,320160368
ال ای دی سونیا 55Q9600,تلویزیون و LED,428000000,373920000
ال ای دی سونیا 55Q9605,تلویزیون و LED,496000000,391911300
ال ای دی سونیا 55Q9680,تلویزیون و LED,400000000,
ال ای دی سونیا 55Q9690,تلویزیون و LED,330000000,362225700
ال ای دی سونیا 55Q9695,تلویزیون و LED,400000000,432584460
ال ای دی سونیا 55Q9765,تلویزیون و LED,475000000,390000000
ال ای دی سونیا 6505 - 43 اسمارت,تلویزیون و LED,280000000,188812800
ال ای دی سونیا 6515-43 اسمارت,تلویزیون و LED,215000000,236352000
ال ای دی سونیا 65Q9785,تلویزیون و LED,600000000,
ال ای دی سونیا 65Q9790,تلویزیون و LED,670000000,557000000
ال ای دی سونیا 65Q9795,تلویزیون و LED,860000000,625270000
ال ای دی سونیا 75Q9880,تلویزیون و LED,960000000,864739200
ال ای دی سونیا 8695-50فرکی اسمارت,تلویزیون و LED,350000000,264082800
ال ای دی سونیا 86Q9980,تلویزیون و LED,999900000,1034178600
ال ای دی سونیا 8770-55,تلویزیون و LED,345000000,
ال ای دی سونیا 8870-65فرکی اسمارت,تلویزیون و LED,620000000,571640000
ال ای دی مکسن 43BF9000,تلویزیون و LED,170000000,
ال ای دی پارس 43F520,تلویزیون و LED,380000000,345000000
تلویزیون LG 65UR8006,تلویزیون و LED,934000000,864500000
1500 کابل 8 متر دونالکس جارو پرتابل مشکی DN770وات,جاروبرقی و بخارشوی,95000000,66930000
بخارشوی کارچر SC2,جاروبرقی و بخارشوی,175000000,160000000
بخارشوی کارچر SC3,جاروبرقی و بخارشوی,135000000,
جارو بیسل بخارشوی دار 3527,جاروبرقی و بخارشوی,425000000,375000000
جارو شارژی بوش 711 مشکی,جاروبرقی و بخارشوی,245000000,225000000
جارو شارژی بوش سری 2,جاروبرقی و بخارشوی,245000000,215000000
جاروبرقی 2400 وات S2سفید FALCO,جاروبرقی و بخارشوی,230000000,98000000
جاروبرقی 2400 وات S2مشکیFALCO,جاروبرقی و بخارشوی,215000000,98000000
جاروبرقی 2400 وات S3سرمه ایFALCO,جاروبرقی و بخارشوی,85000000,
جاروبرقی 2400 وات S3سفید FALCO,جاروبرقی و بخارشوی,100000000,73000000
جاروبرقی 2400 وات S3مشکی FALCO,جاروبرقی و بخارشوی,95000000,73000000
جاروبرقی 820Q AEG,جاروبرقی و بخارشوی,175000000,150000000
جاروبرقی AEG سری 4,جاروبرقی و بخارشوی,75000000,
جاروبرقی AEGمدل AB81,جاروبرقی و بخارشوی,395000000,350000000
جاروبرقی بوش مدل pow2,جاروبرقی و بخارشوی,398000000,360000000
جاروبرقی رباتیک مدل C20 EUFY,جاروبرقی و بخارشوی,990000000,900000000
جاروبرقی پاکتین 6200 سنیور سیلور بژ براق,جاروبرقی و بخارشوی,158000000,106350000
جاروبرقی پاکتین 6200 سنیور مشکی گلد براق,جاروبرقی و بخارشوی,157000000,106350000
لمسی جاروبرقی 2400 وات S3طوسی FALCO,جاروبرقی و بخارشوی,85000000,73000000
موتور مگا ژاپن 2700 وات لوله کنفی جاروبرقی پاکتین 6100 مشکی کروم براق,جاروبرقی و بخارشوی,98000000,
DN360 دونالکس همزن کاسه دار و گوشتکوب استیل,خردکن و غذاساز,85000000,72950000
خرد کن کن وود مدل 209,خردکن و غذاساز,32000000,
