تاریخ,کد کالا,نام کالا,واحد,تعداد,قیمت واحد,بهای واحد,مبلغ کل,مشتری
1404/07/07,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,2,3461538,2923077,6923076,فروشگاه امید
1404/07/07,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,3,2038462,1615385,6115386,هایپر ستاره شهر
1404/07/07,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,15,142308,115385,2134620,فروشگاه سپیدار
1404/07/07,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,8,350000,292308,2800000,فروشگاه گلستان
1404/07/07,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,20,32308,26923,646160,بقالی برادران احمدی
1404/07/07,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,12,188462,150000,2261544,فروشگاه رفاه محلی
1404/07/07,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,2,400000,323077,800000,فروشگاه گلستان
1404/07/07,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,42,36923,29231,1550766,مینی‌مارکت شبانه
1404/07/07,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,9,73846,60000,664614,سوپرمارکت آفتاب
1404/07/07,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,14,40000,32308,560000,فروشگاه سپیدار
1404/07/07,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,18,83077,67692,1495386,فروشگاه زنجیره‌ای مهر
1404/07/07,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,21,129231,103846,2713851,فروشگاه امید
1404/07/07,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,12,109231,88462,1310772,سوپرمارکت آفتاب
1404/07/07,SKU00039,عدس ۹۰۰ گرمی,عدد,8,93846,75385,750768,سوپرمارکت پارسیان
1404/07/07,SKU00040,نخود ۹۰۰ گرمی,عدد,7,100000,80769,700000,مینی‌مارکت شبانه
1404/07/07,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,20,84615,67692,1692300,فروشگاه امید
1404/07/07,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,7,40000,32308,280000,فروشگاه زنجیره‌ای مهر
1404/07/07,SKU00043,ماست دبه ۲ کیلویی,عدد,12,157692,126923,1892304,فروشگاه سپیدار
1404/07/07,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,8,90769,73077,726152,فروشگاه یاس
1404/07/07,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,7,169231,134615,1184617,سوپر پروتئین سبز
1404/07/07,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,4,361538,296154,1446152,فروشگاه سپیدار
1404/07/07,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,14,65385,52308,915390,فروشگاه رفاه محلی
1404/07/07,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,2,206154,165385,412308,بوفه دانشگاه
1404/07/07,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,10,70769,55385,707690,کافه رستوران ونک
1404/07/07,SKU00050,صابون بسته ۶ عددی,بسته,10,92308,73846,923080,مینی‌مارکت نسیم
1404/07/08,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,5,3465000,2926000,17325000,فروشگاه زنجیره‌ای مهر
1404/07/08,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,3,2040500,1617000,6121500,مینی‌مارکت نسیم
1404/07/08,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,22,142450,115500,3133900,هایپر نیک
1404/07/08,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,5,350350,292600,1751750,سوپر مارکت البرز
1404/07/08,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,19,32340,26950,614460,کافه رستوران ونک
1404/07/08,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,10,188650,150150,1886500,سوپر پروتئین سبز
1404/07/08,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,3,400400,323400,1201200,سوپرمارکت پارسیان
1404/07/08,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,43,36960,29260,1589280,فروشگاه رفاه محلی
1404/07/08,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,14,73920,60060,1034880,فروشگاه امید
1404/07/08,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,29,40040,32340,1161160,بوفه دانشگاه
1404/07/08,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,19,83160,67760,1580040,فروشگاه گلستان
1404/07/08,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,9,129360,103950,1164240,کافه رستوران ونک
